"pseudotime_bin","mean_pseudotime","program","mean_UCell","scaled_score"
1,3.05877043755567,"YAP/TEAD",0.218115317380023,0.829411879222878
1,3.05877043755567,"Integrin/FAK",0.117113434504739,-1.10868679720661
1,3.05877043755567,"RhoA/ROCK",0.153621176909393,-1.36235024945342
1,3.05877043755567,"Myofibroblast",0.19828317466047,-2.43138400721554
1,3.05877043755567,"ECM organization",0.107753254831497,-2.38587970915823
1,3.05877043755567,"Fibroblast activation",0.0624547270464722,-1.94317837922228
1,3.05877043755567,"Inflammation",0.053400102240307,-0.936568262060131
1,3.05877043755567,"TGF-beta",0.172807717220352,1.54186171984264
1,3.05877043755567,"TGF-beta/SMAD",0.179456412099189,-0.950217904933355
2,3.87772476907322,"YAP/TEAD",0.219103796309679,0.849729144915314
2,3.87772476907322,"Integrin/FAK",0.0982999722130157,-1.40143701306162
2,3.87772476907322,"RhoA/ROCK",0.135238479763706,-2.0502892898046
2,3.87772476907322,"Myofibroblast",0.187392275413978,-2.50040954631371
2,3.87772476907322,"ECM organization",0.110126454795355,-2.16018314888196
2,3.87772476907322,"Fibroblast activation",0.0639425877200664,-1.75505468334722
2,3.87772476907322,"Inflammation",0.0498825356079239,-1.23424185231751
2,3.87772476907322,"TGF-beta",0.169387146436295,1.3195514650249
2,3.87772476907322,"TGF-beta/SMAD",0.171689606739999,-1.41292402037844
3,4.61968670826585,"YAP/TEAD",0.203051122168769,0.519781347536717
3,4.61968670826585,"Integrin/FAK",0.0930130799696017,-1.48370463724808
3,4.61968670826585,"RhoA/ROCK",0.134901170446343,-2.06291247813486
3,4.61968670826585,"Myofibroblast",0.18733512310307,-2.50077177251578
3,4.61968670826585,"ECM organization",0.110081371280622,-2.16447069074749
3,4.61968670826585,"Fibroblast activation",0.0658412450135196,-1.51499025151993
3,4.61968670826585,"Inflammation",0.0536747004724918,-0.913330424601632
3,4.61968670826585,"TGF-beta",0.15647655879374,0.480464596236561
3,4.61968670826585,"TGF-beta/SMAD",0.162992219543171,-1.931069391384
4,5.09868878357473,"YAP/TEAD",0.222604766722414,0.921688337896487
4,5.09868878357473,"Integrin/FAK",0.0969183230052795,-1.42293641054247
4,5.09868878357473,"RhoA/ROCK",0.133212925043716,-2.12609199488129
4,5.09868878357473,"Myofibroblast",0.218521860758923,-2.30311303647505
4,5.09868878357473,"ECM organization",0.114191507234471,-1.77358767996931
4,5.09868878357473,"Fibroblast activation",0.0642055806367157,-1.72180210778884
4,5.09868878357473,"Inflammation",0.0505070446156762,-1.18139286382237
4,5.09868878357473,"TGF-beta",0.152594395879182,0.22815447571463
4,5.09868878357473,"TGF-beta/SMAD",0.1649617943011,-1.81373230835263
5,5.83170204424257,"YAP/TEAD",0.278913438839909,2.07906075917637
5,5.83170204424257,"Integrin/FAK",0.105042165911731,-1.2965239125366
5,5.83170204424257,"RhoA/ROCK",0.142589255782769,-1.77519985323751
5,5.83170204424257,"Myofibroblast",0.328265577764743,-1.60756723648942
5,5.83170204424257,"ECM organization",0.125260055088593,-0.720944322488699
5,5.83170204424257,"Fibroblast activation",0.0704713798589976,-0.929560382319145
5,5.83170204424257,"Inflammation",0.0547748886942791,-0.820227148341458
5,5.83170204424257,"TGF-beta",0.159557426619257,0.680696824887613
5,5.83170204424257,"TGF-beta/SMAD",0.171797016981787,-1.40652507339334
6,6.51760992202008,"YAP/TEAD",0.256821493953847,1.62498136461683
6,6.51760992202008,"Integrin/FAK",0.113273808925983,-1.16843397183899
6,6.51760992202008,"RhoA/ROCK",0.145206564677316,-1.67725182336207
6,6.51760992202008,"Myofibroblast",0.343533516822332,-1.51080041306043
6,6.51760992202008,"ECM organization",0.122075657644243,-1.02378755554436
6,6.51760992202008,"Fibroblast activation",0.0834658682909019,0.713450440670269
6,6.51760992202008,"Inflammation",0.0597503801696239,-0.399176869684058
6,6.51760992202008,"TGF-beta",0.174564854213626,1.65606183362048
6,6.51760992202008,"TGF-beta/SMAD",0.179167169088782,-0.967449508350194
7,7.35080254716051,"YAP/TEAD",0.241011853144206,1.30002889148376
7,7.35080254716051,"Integrin/FAK",0.120696114174375,-1.05293787495285
7,7.35080254716051,"RhoA/ROCK",0.163477423115372,-0.993498143439354
7,7.35080254716051,"Myofibroblast",0.408927792567192,-1.09633737974594
7,7.35080254716051,"ECM organization",0.131839067092319,-0.0952657442523527
7,7.35080254716051,"Fibroblast activation",0.0729997045048638,-0.609881406193404
7,7.35080254716051,"Inflammation",0.0543459360620417,-0.856527205577892
7,7.35080254716051,"TGF-beta",0.154794805565278,0.371163835526533
7,7.35080254716051,"TGF-beta/SMAD",0.180103755971617,-0.911652503237812
8,7.93923554258459,"YAP/TEAD",0.230590454855161,1.08582673545091
8,7.93923554258459,"Integrin/FAK",0.137064824021346,-0.79822966299991
8,7.93923554258459,"RhoA/ROCK",0.170956742864219,-0.713598191341814
8,7.93923554258459,"Myofibroblast",0.443790326219375,-0.8753817795511
8,7.93923554258459,"ECM organization",0.137381197713283,0.431803123437937
8,7.93923554258459,"Fibroblast activation",0.0725799262699218,-0.662957769059042
8,7.93923554258459,"Inflammation",0.055189152565211,-0.785170125501021
8,7.93923554258459,"TGF-beta",0.15357709667551,0.292022314807257
8,7.93923554258459,"TGF-beta/SMAD",0.175983734494373,-1.15710208580399
9,8.39710980475291,"YAP/TEAD",0.219075191501662,0.849141199672255
9,8.39710980475291,"Integrin/FAK",0.132802367584976,-0.864556372165439
9,8.39710980475291,"RhoA/ROCK",0.17849901317677,-0.43134242877525
9,8.39710980475291,"Myofibroblast",0.451734873437712,-0.82502995439642
9,8.39710980475291,"ECM organization",0.135860303543591,0.287162727402505
9,8.39710980475291,"Fibroblast activation",0.0651178320536777,-1.60645790172713
9,8.39710980475291,"Inflammation",0.0516624952216643,-1.08361301593459
9,8.39710980475291,"TGF-beta",0.144184071863432,-0.318450577382254
9,8.39710980475291,"TGF-beta/SMAD",0.17985662834487,-0.92637508979728
10,8.78694494016913,"YAP/TEAD",0.195053216679514,0.355391833574256
10,8.78694494016913,"Integrin/FAK",0.119282979463975,-1.07492720818067
10,8.78694494016913,"RhoA/ROCK",0.164955392017814,-0.938187842651748
10,8.78694494016913,"Myofibroblast",0.457232642639694,-0.790185588066763
10,8.78694494016913,"ECM organization",0.141604410580621,0.833439998538527
10,8.78694494016913,"Fibroblast activation",0.0728887188193656,-0.623914331262051
10,8.78694494016913,"Inflammation",0.0511051361188479,-1.13077945300237
10,8.78694494016913,"TGF-beta",0.142123115478134,-0.452396567133275
10,8.78694494016913,"TGF-beta/SMAD",0.184218046480085,-0.666544342167075
11,9.0589038068799,"YAP/TEAD",0.173962499438278,-0.0781082573013475
11,9.0589038068799,"Integrin/FAK",0.118478891427937,-1.08743936264041
11,9.0589038068799,"RhoA/ROCK",0.158429061817873,-1.18242389240987
11,9.0589038068799,"Myofibroblast",0.460208945527614,-0.771322048270054
11,9.0589038068799,"ECM organization",0.139463759387708,0.629859340208193
11,9.0589038068799,"Fibroblast activation",0.0765358529787316,-0.162774138777035
11,9.0589038068799,"Inflammation",0.0537491497095917,-0.907030168198398
11,9.0589038068799,"TGF-beta",0.143773790084407,-0.345115672946832
11,9.0589038068799,"TGF-beta/SMAD",0.184801924904685,-0.631759883790073
12,9.32397493849421,"YAP/TEAD",0.187804842216607,0.206408233233382
12,9.32397493849421,"Integrin/FAK",0.133439939735435,-0.854635317668633
12,9.32397493849421,"RhoA/ROCK",0.17317409892862,-0.630617669442783
12,9.32397493849421,"Myofibroblast",0.500185830078789,-0.51795215243715
12,9.32397493849421,"ECM organization",0.141611629036564,0.834126489648182
12,9.32397493849421,"Fibroblast activation",0.0757835096169353,-0.257899721635736
12,9.32397493849421,"Inflammation",0.053832090476031,-0.900011317298069
12,9.32397493849421,"TGF-beta",0.143686328296775,-0.350800002704283
12,9.32397493849421,"TGF-beta/SMAD",0.19111363499085,-0.255740823092339
13,9.59122714973769,"YAP/TEAD",0.21060146600804,0.67497164775404
13,9.59122714973769,"Integrin/FAK",0.135352465315086,-0.82487512427151
13,9.59122714973769,"RhoA/ROCK",0.174597511843129,-0.577349027378423
13,9.59122714973769,"Myofibroblast",0.520253967774345,-0.390762102122589
13,9.59122714973769,"ECM organization",0.14484379300976,1.14151242513987
13,9.59122714973769,"Fibroblast activation",0.0760059646133591,-0.229772722356949
13,9.59122714973769,"Inflammation",0.0559307836925305,-0.722409693819802
13,9.59122714973769,"TGF-beta",0.149432579336217,0.0226612157505773
13,9.59122714973769,"TGF-beta/SMAD",0.195802356891877,0.0235889910196094
14,9.79510341406369,"YAP/TEAD",0.221244369817034,0.893726643878992
14,9.79510341406369,"Integrin/FAK",0.139445882117533,-0.761178786302498
14,9.79510341406369,"RhoA/ROCK",0.191084793467659,0.0396575309567744
14,9.79510341406369,"Myofibroblast",0.570169362210018,-0.0744028252400906
14,9.79510341406369,"ECM organization",0.147050163364013,1.35134312092361
14,9.79510341406369,"Fibroblast activation",0.0730253496067763,-0.606638863770924
14,9.79510341406369,"Inflammation",0.0576303890246561,-0.578580827416304
14,9.79510341406369,"TGF-beta",0.153948163618342,0.31613875379459
14,9.79510341406369,"TGF-beta/SMAD",0.202031385385578,0.394682309832702
15,10.0261381241747,"YAP/TEAD",0.222347073341883,0.916391689963636
15,10.0261381241747,"Integrin/FAK",0.143905022775768,-0.691791537428022
15,10.0261381241747,"RhoA/ROCK",0.197535658323259,0.281069427319188
15,10.0261381241747,"Myofibroblast",0.609404814963098,0.174267942595231
15,10.0261381241747,"ECM organization",0.147968482744967,1.43867732312862
15,10.0261381241747,"Fibroblast activation",0.0705351505961117,-0.921497270653185
15,10.0261381241747,"Inflammation",0.0545449728394812,-0.839683745787187
15,10.0261381241747,"TGF-beta",0.150859614904996,0.115407327717586
15,10.0261381241747,"TGF-beta/SMAD",0.20314384690908,0.460957016911908
16,10.3012016518675,"YAP/TEAD",0.225026703400406,0.971468995329594
16,10.3012016518675,"Integrin/FAK",0.162284538204271,-0.405793828682421
16,10.3012016518675,"RhoA/ROCK",0.211232523515608,0.793649720709646
16,10.3012016518675,"Myofibroblast",0.66661630621171,0.536869224332175
16,10.3012016518675,"ECM organization",0.148512165748828,1.49038277809269
16,10.3012016518675,"Fibroblast activation",0.0742252532490835,-0.454924182489983
16,10.3012016518675,"Inflammation",0.0548379706468381,-0.814888846821931
16,10.3012016518675,"TGF-beta",0.148600822952245,-0.0313964212171557
16,10.3012016518675,"TGF-beta/SMAD",0.212226757645373,1.00206988756619
17,10.5598400226075,"YAP/TEAD",0.233160006083882,1.13864147277915
17,10.5598400226075,"Integrin/FAK",0.173744726430148,-0.227465537757427
17,10.5598400226075,"RhoA/ROCK",0.227644055378669,1.40782148185492
17,10.5598400226075,"Myofibroblast",0.72762598297313,0.923543063961974
17,10.5598400226075,"ECM organization",0.147433975156621,1.38784447045355
17,10.5598400226075,"Fibroblast activation",0.0784354889532627,0.0774140365597917
17,10.5598400226075,"Inflammation",0.0577405367889024,-0.569259588085634
17,10.5598400226075,"TGF-beta",0.157979983943894,0.578175431453866
17,10.5598400226075,"TGF-beta/SMAD",0.220846635377957,1.51559764535094
18,11.0472556745313,"YAP/TEAD",0.239521507903861,1.26939623021691
18,11.0472556745313,"Integrin/FAK",0.187835267886419,-0.008207168996036
18,11.0472556745313,"RhoA/ROCK",0.225026185336818,1.30985245206119
18,11.0472556745313,"Myofibroblast",0.700230021378013,0.749909925373815
18,11.0472556745313,"ECM organization",0.144257750501229,1.08577848768605
18,11.0472556745313,"Fibroblast activation",0.0810070010450028,0.402553592481345
18,11.0472556745313,"Inflammation",0.057198815050403,-0.615102715358636
18,11.0472556745313,"TGF-beta",0.165993981771201,1.09902239284448
18,11.0472556745313,"TGF-beta/SMAD",0.225571389723949,1.79707408627643
19,11.7686191118814,"YAP/TEAD",0.234956652344196,1.17556986683085
19,11.7686191118814,"Integrin/FAK",0.154340343460942,-0.529410879592132
19,11.7686191118814,"RhoA/ROCK",0.200730421104206,0.400627619691961
19,11.7686191118814,"Myofibroblast",0.587856457595238,0.0376963932371038
19,11.7686191118814,"ECM organization",0.141779590665491,0.850100011679478
19,11.7686191118814,"Fibroblast activation",0.0841326488147801,0.797757539255279
19,11.7686191118814,"Inflammation",0.0523130399295933,-1.02856075990925
19,11.7686191118814,"TGF-beta",0.179588348837949,1.98254955760326
19,11.7686191118814,"TGF-beta/SMAD",0.22872877292876,1.98517465660177
20,12.1047410402678,"YAP/TEAD",0.243703744352533,1.35535821338826
20,12.1047410402678,"Integrin/FAK",0.147389236116366,-0.637574817946593
20,12.1047410402678,"RhoA/ROCK",0.191785312851255,0.0658731960835607
20,12.1047410402678,"Myofibroblast",0.569270428089047,-0.0801001887827515
20,12.1047410402678,"ECM organization",0.13874230023109,0.561246980310816
20,12.1047410402678,"Fibroblast activation",0.079254145895742,0.180924245819469
20,12.1047410402678,"Inflammation",0.0541130217872229,-0.876237543903606
20,12.1047410402678,"TGF-beta",0.178486411457923,1.91093227639141
20,12.1047410402678,"TGF-beta/SMAD",0.2317338627529,2.1642023745355
21,12.3729253893035,"YAP/TEAD",0.237185608509138,1.22138398917711
21,12.3729253893035,"Integrin/FAK",0.141077430886599,-0.735790782387228
21,12.3729253893035,"RhoA/ROCK",0.190442389983663,0.0156167477792002
21,12.3729253893035,"Myofibroblast",0.548357367860461,-0.212645282057369
21,12.3729253893035,"ECM organization",0.137532978484542,0.446237810152523
21,12.3729253893035,"Fibroblast activation",0.0861165864926454,1.04860474220219
21,12.3729253893035,"Inflammation",0.0566176968577123,-0.664279762124323
21,12.3729253893035,"TGF-beta",0.181067606454877,2.0786896928383
21,12.3729253893035,"TGF-beta/SMAD",0.235385606276852,2.38175437724794
22,12.6042084518453,"YAP/TEAD",0.227624451672895,1.02486329668574
22,12.6042084518453,"Integrin/FAK",0.132251967762493,-0.873120966196035
22,12.6042084518453,"RhoA/ROCK",0.181595595250917,-0.31545847096569
22,12.6042084518453,"Myofibroblast",0.531186593039682,-0.321472107272875
22,12.6042084518453,"ECM organization",0.135617422231417,0.264064177955449
22,12.6042084518453,"Fibroblast activation",0.0879005120355766,1.27416260004343
22,12.6042084518453,"Inflammation",0.0596478219310437,-0.407855846453846
22,12.6042084518453,"TGF-beta",0.178949425699473,1.94102456815245
22,12.6042084518453,"TGF-beta/SMAD",0.236570172905065,2.45232473374309
23,13.8698652018653,"YAP/TEAD",0.173372691322518,-0.0902312149445842
23,13.8698652018653,"Integrin/FAK",0.142192930683979,-0.718432849997874
23,13.8698652018653,"RhoA/ROCK",0.175203699546298,-0.554663553996278
23,13.8698652018653,"Myofibroblast",0.499628339842422,-0.521485475373691
23,13.8698652018653,"ECM organization",0.138700421296238,0.557264201072701
23,13.8698652018653,"Fibroblast activation",0.0967528111657634,2.3934389267303
23,13.8698652018653,"Inflammation",0.069411404350467,0.418385966794931
23,13.8698652018653,"TGF-beta",0.166798033228408,1.15127942701297
23,13.8698652018653,"TGF-beta/SMAD",0.215252115719806,1.18230508308254
24,17.0936740975952,"YAP/TEAD",0.149300526463156,-0.585012190610175
24,17.0936740975952,"Integrin/FAK",0.167727349922904,-0.321099991855319
24,17.0936740975952,"RhoA/ROCK",0.18203435607204,-0.299038644438858
24,17.0936740975952,"Myofibroblast",0.54966271085293,-0.204372135669371
24,17.0936740975952,"ECM organization",0.1375746642006,0.450202213856473
24,17.0936740975952,"Fibroblast activation",0.0892140397128126,1.44024379679884
24,17.0936740975952,"Inflammation",0.0600249819096827,-0.375938735372197
24,17.0936740975952,"TGF-beta",0.148231240388405,-0.0554163872200654
24,17.0936740975952,"TGF-beta/SMAD",0.194824051882217,-0.0346933644413267
25,17.5988168912883,"YAP/TEAD",0.151744233275375,-0.534784068301513
25,17.5988168912883,"Integrin/FAK",0.194952506343417,0.102541881990424
25,17.5988168912883,"RhoA/ROCK",0.178746209667755,-0.422091549242256
25,17.5988168912883,"Myofibroblast",0.604748109594422,0.144754163134111
25,17.5988168912883,"ECM organization",0.131795202743984,-0.0994373406996216
25,17.5988168912883,"Fibroblast activation",0.0715109075690186,-0.798123482181668
25,17.5988168912883,"Inflammation",0.0551408872452004,-0.789254571538293
25,17.5988168912883,"TGF-beta",0.141489785489098,-0.493558045767915
